Branch	Model	Feature	Description	Importance_Available
run_model_0.1	nnet	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	nnet	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
run_model_0.1	nnet	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	nnet	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	nnet	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	nnet	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	nnet	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	nnet	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	nnet	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	nnet	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	nnet	Genus_Massilia	Genus_Massilia	TRUE
run_model_0.1	nnet	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	nnet	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.2	glmnet	Metabolite_1_2_Carboxyphenylamino_1_deoxy_D_ribulose_5_phosphate	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	TRUE
run_model_0.2	glmnet	Metabolite_1_4_Dioxo_1_4_dihydronaphthalene_2_carboxylic_acid	1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid	TRUE
run_model_0.2	glmnet	Metabolite_1_deoxy_L_glycero_tetrulose_4_phosphate	1-deoxy-L-glycero-tetrulose 4-phosphate	TRUE
run_model_0.2	glmnet	Metabolite_1_Hydroxyphenanthrene	1-Hydroxyphenanthrene	TRUE
run_model_0.2	glmnet	Metabolite_4_Deoxy_beta_D_gluc_4_enuronosyl_1_3_N_acetyl_D_galactosamine_4_sulfate	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate	TRUE
run_model_0.2	glmnet	Metabolite_4_hydroxymandelic_acid	4-hydroxymandelic acid	TRUE
run_model_0.2	glmnet	Metabolite_8_Geranylesculetin	8-Geranylesculetin	TRUE
run_model_0.2	glmnet	Metabolite_Capillarisin	Capillarisin	TRUE
