model_id	modality	label_cn	feature_id	raw_feature	source_file
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Megasphaera	Megasphaera	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Methyloversatilis	Methyloversatilis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Mobiluncus	Mobiluncus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Mogibacterium	Mogibacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Moraxella	Moraxella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Muribaculaceae_Incertae_Sedis	Muribaculaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Mycoplasma	Mycoplasma	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Neisseria	Neisseria	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Neisseriaceae_unclassified	Neisseriaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Odoribacter	Odoribacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Olsenella	Olsenella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Oribacterium	Oribacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Paludibacteraceae_F0058	Paludibacteraceae_F0058	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Parascardovia	Parascardovia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Parvimonas	Parvimonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pasteurellaceae_unclassified	Pasteurellaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pelospora	Pelospora	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptoanaerobacter	Peptoanaerobacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptococcus	Peptococcus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptostreptococcaceae_unclassified	Peptostreptococcaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptostreptococcales_Tissierellales_Family_XI_Incertae_Sedis	Peptostreptococcales-Tissierellales_Family_XI_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptostreptococcales_Tissierellales_Family_XI_W5053	Peptostreptococcales-Tissierellales_Family_XI_W5053	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Peptostreptococcus	Peptostreptococcus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Phocaeicola	Phocaeicola	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Porphyromonas	Porphyromonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Prevotella	Prevotella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Prevotellaceae_Incertae_Sedis	Prevotellaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Prevotellaceae_unclassified	Prevotellaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pseudoleptotrichia	Pseudoleptotrichia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pseudomonas	Pseudomonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pseudoramibacter	Pseudoramibacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Pyramidobacter	Pyramidobacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Rhodospirillales_Incertae_Sedis	Rhodospirillales_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Rikenellaceae_RC9_gut_group	Rikenellaceae_RC9_gut_group	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Rothia	Rothia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Saccharimonadaceae_Incertae_Sedis	Saccharimonadaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Saccharimonadaceae_TM7x	Saccharimonadaceae_TM7x	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Saccharimonadaceae_unclassified	Saccharimonadaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Saccharimonadales_Incertae_Sedis	Saccharimonadales_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Scardovia	Scardovia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Schaalia	Schaalia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Segatella	Segatella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Selenomonadaceae_Incertae_Sedis	Selenomonadaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Selenomonadaceae_unclassified	Selenomonadaceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Selenomonas	Selenomonas	口腔细菌/genus_oral_bacteria.xls
