Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	maxit	5027
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	eta	0.110552448567469
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	max_depth	4
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	nrounds	244
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	nthread	1
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	verbose	0
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	verbosity	0
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	min_child_weight	6.04709359677508
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	subsample	0.915321166394278
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	xgboost	colsample_bytree	0.832948338007554
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	importance	impurity
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	num.threads	1
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	num.trees	954
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	mtry	5
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	max.depth	14
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rf	min.node.size	1
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	svm	cost	3.58990427945384
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	svm	kernel	radial
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	svm	type	C-classification
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	svm	gamma	0.0178834774109473
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	naive_bayes	laplace	2.99051235080697
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	kknn	k	5
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	kknn	distance	2.30654831742868
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	kknn	kernel	epanechnikov
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rpart	xval	0
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rpart	cp	0.0141098987569135
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rpart	maxdepth	7
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	rpart	minbucket	4
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	adaboost	I	102
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	nnet	MaxNWts	5000
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	nnet	size	20
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	nnet	decay	0.0981576764948559
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	nnet	maxit	191
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	alpha	0.0208524102345109
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	lambda	0.000111810505954445
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	use_pred_offset	TRUE
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	standardize	TRUE
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	thresh	0.00000991704605955252
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	glmnet	maxit	6897
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	eta	0.286827449747361
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	max_depth	1
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	nrounds	144
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	nthread	1
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	verbose	0
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	verbosity	0
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	min_child_weight	2.81633919337764
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	subsample	0.853002595016733
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	xgboost	colsample_bytree	0.801212744321674
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	importance	impurity
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	num.threads	1
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	num.trees	726
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	mtry	15
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	max.depth	12
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rf	min.node.size	5
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	svm	cost	14.5219705996495
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	svm	kernel	radial
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	svm	type	C-classification
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	svm	gamma	0.0746462275262964
